"Plot Title: 2373798"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,05/09/11 01:38:12 PM,19.674,44.409,3.36,Logged,,,
2,05/09/11 02:08:12 PM,16.201,43.995,3.36,,,,
3,05/09/11 02:38:12 PM,15.986,45.232,3.36,,,,
4,05/09/11 03:08:12 PM,16.392,44.081,3.36,,,,
5,05/09/11 03:38:12 PM,16.820,43.371,3.36,,,,
6,05/09/11 04:08:12 PM,16.915,45.945,3.36,,,,
7,05/09/11 04:38:12 PM,16.749,48.341,3.36,,,,
8,05/09/11 05:08:12 PM,16.368,48.977,3.36,,,,
9,05/09/11 05:38:12 PM,16.606,46.850,3.36,,,,
10,05/09/11 06:08:12 PM,16.201,46.454,3.36,,,,
11,05/09/11 06:38:12 PM,15.867,55.161,3.36,,,,
12,05/09/11 07:08:12 PM,14.936,55.782,3.36,,,,
13,05/09/11 07:38:12 PM,13.353,60.066,3.36,,,,
14,05/09/11 08:08:12 PM,12.751,62.859,3.34,,,,
15,05/09/11 08:38:12 PM,11.637,72.347,3.34,,,,
16,05/09/11 09:08:12 PM,10.467,75.824,3.34,,,,
17,05/09/11 09:38:12 PM,9.879,78.174,3.32,,,,
18,05/09/11 10:08:12 PM,9.287,79.840,3.32,,,,
19,05/09/11 10:38:12 PM,8.668,82.122,3.32,,,,
20,05/09/11 11:08:12 PM,7.920,85.340,3.32,,,,
21,05/09/11 11:38:12 PM,7.217,87.078,3.31,,,,
22,05/10/11 12:08:12 AM,6.763,89.391,3.31,,,,
23,05/10/11 12:38:12 AM,6.357,90.489,3.31,,,,
24,05/10/11 01:08:12 AM,6.026,91.470,3.31,,,,
25,05/10/11 01:38:12 AM,5.565,92.660,3.31,,,,
26,05/10/11 02:08:12 AM,5.154,93.452,3.29,,,,
27,05/10/11 02:38:12 AM,4.740,94.732,3.29,,,,
28,05/10/11 03:08:12 AM,4.402,95.036,3.29,,,,
29,05/10/11 03:38:12 AM,4.063,95.780,3.29,,,,
30,05/10/11 04:08:12 AM,3.801,96.246,3.29,,,,
31,05/10/11 04:38:12 AM,3.433,96.657,3.27,,,,
32,05/10/11 05:08:12 AM,3.168,96.996,3.27,,,,
33,05/10/11 05:38:12 AM,2.850,97.247,3.27,,,,
34,05/10/11 06:08:12 AM,2.637,97.380,3.27,,,,
35,05/10/11 06:38:12 AM,2.423,97.562,3.27,,,,
36,05/10/11 07:08:12 AM,2.343,97.876,3.27,,,,
37,05/10/11 07:38:12 AM,2.503,98.306,3.27,,,,
38,05/10/11 08:08:12 AM,3.089,98.856,3.27,,,,
39,05/10/11 08:38:12 AM,4.011,99.407,3.27,,,,
40,05/10/11 09:08:12 AM,5.385,100.000,3.29,,,,
41,05/10/11 09:38:12 AM,7.242,98.326,3.29,,,,
42,05/10/11 10:08:12 AM,9.977,83.891,3.31,,,,
43,05/10/11 10:38:12 AM,11.880,74.752,3.32,,,,
44,05/10/11 11:08:12 AM,13.858,70.019,3.34,,,,
45,05/10/11 11:38:12 AM,16.010,57.852,3.36,,,,
46,05/10/11 12:08:12 PM,17.058,55.857,3.36,,,,
47,05/10/11 12:38:12 PM,18.343,55.098,3.38,,,,
48,05/10/11 01:08:12 PM,18.557,55.406,3.38,,,,
49,05/10/11 01:38:12 PM,22.321,47.381,3.40,,,,
50,05/10/11 02:08:12 PM,18.913,53.176,3.38,,,,
51,05/10/11 02:38:12 PM,18.913,52.370,3.38,,,,
52,05/10/11 03:08:12 PM,18.842,52.856,3.38,,,,
53,05/10/11 03:38:12 PM,19.199,50.540,3.38,,,,
54,05/10/11 04:08:12 PM,19.222,50.544,3.38,,,,
55,05/10/11 04:38:12 PM,19.294,48.514,3.38,,,,
56,05/10/11 05:08:12 PM,19.341,48.552,3.38,,,,
57,05/10/11 05:38:12 PM,20.007,46.677,3.40,,,,
58,05/10/11 06:08:12 PM,19.460,49.133,3.38,,,,
59,05/10/11 06:38:12 PM,18.794,57.248,3.38,,,,
60,05/10/11 07:08:12 PM,17.605,37.651,3.38,,,,
61,05/10/11 07:38:12 PM,15.199,57.937,3.36,,,,
62,05/10/11 08:08:12 PM,13.546,63.406,3.36,,,,
63,05/10/11 08:38:12 PM,12.316,64.684,3.34,,,,
64,05/10/11 09:08:12 PM,11.248,68.385,3.34,,,,
65,05/10/11 09:38:12 PM,10.687,71.146,3.34,,,,
66,05/10/11 10:08:12 PM,10.149,74.316,3.34,,,,
67,05/10/11 10:38:12 PM,9.756,75.068,3.32,,,,
68,05/10/11 11:08:12 PM,9.361,77.871,3.32,,,,
69,05/10/11 11:38:12 PM,8.965,80.660,3.32,,,,
70,05/11/11 12:08:12 AM,8.593,82.052,3.32,,,,
71,05/11/11 12:38:12 AM,8.319,83.135,3.32,,,,
72,05/11/11 01:08:12 AM,8.070,84.797,3.32,,,,
73,05/11/11 01:38:12 AM,8.145,84.841,3.32,,,,
74,05/11/11 02:08:12 AM,8.245,85.522,3.32,,,,
75,05/11/11 02:38:12 AM,8.270,85.633,3.32,,,,
76,05/11/11 03:08:12 AM,8.295,86.111,3.32,,,,
77,05/11/11 03:38:12 AM,8.319,86.091,3.32,,,,
78,05/11/11 04:08:12 AM,8.295,86.373,3.32,,,,
79,05/11/11 04:38:12 AM,8.145,87.850,3.32,,,,
80,05/11/11 05:08:12 AM,8.120,87.739,3.31,,,,
81,05/11/11 05:38:12 AM,8.120,88.673,3.31,,,,
