"Plot Title: 2373795"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,02/06/12 10:40:37 AM,6.914,92.913,3.38,Logged,,,
2,02/06/12 11:10:37 AM,8.618,82.378,3.38,,,,
3,02/06/12 11:40:37 AM,9.608,71.499,3.38,,,,
4,02/06/12 12:10:37 PM,10.418,62.725,3.40,,,,
5,02/06/12 12:40:37 PM,10.883,64.925,3.40,,,,
6,02/06/12 01:10:37 PM,11.224,66.976,3.40,,,,
7,02/06/12 01:40:37 PM,11.759,66.122,3.41,,,,
8,02/06/12 02:10:37 PM,12.364,60.616,3.41,,,,
9,02/06/12 02:40:37 PM,12.098,63.480,3.41,,,,
10,02/06/12 03:10:37 PM,12.461,64.185,3.41,,,,
11,02/06/12 03:40:37 PM,12.147,68.466,3.41,,,,
12,02/06/12 04:10:37 PM,12.558,59.700,3.41,,,,
13,02/06/12 04:40:37 PM,12.389,57.350,3.41,,,,
14,02/06/12 05:10:37 PM,12.050,57.865,3.41,,,,
15,02/06/12 05:40:37 PM,11.613,61.023,3.41,,,,
16,02/06/12 06:10:37 PM,11.370,59.005,3.41,,,,
17,02/06/12 06:40:37 PM,10.883,61.430,3.41,,,,
18,02/06/12 07:10:37 PM,10.320,66.324,3.41,,,,
19,02/06/12 07:40:37 PM,10.443,64.414,3.41,,,,
20,02/06/12 08:10:37 PM,10.198,65.554,3.41,,,,
21,02/06/12 08:40:37 PM,10.296,63.402,3.41,,,,
22,02/06/12 09:10:37 PM,10.761,58.553,3.41,,,,
23,02/06/12 09:40:37 PM,10.883,55.773,3.41,,,,
24,02/06/12 10:10:37 PM,11.005,57.761,3.41,,,,
25,02/06/12 10:40:37 PM,11.127,56.140,3.41,,,,
26,02/06/12 11:10:37 PM,10.858,63.034,3.41,,,,
27,02/06/12 11:40:37 PM,11.127,53.767,3.41,,,,
28,02/07/12 12:10:37 AM,10.858,60.193,3.41,,,,
29,02/07/12 12:40:37 AM,10.492,69.354,3.41,,,,
30,02/07/12 01:10:37 AM,10.369,61.900,3.41,,,,
31,02/07/12 01:40:37 AM,10.051,64.663,3.41,,,,
32,02/07/12 02:10:37 AM,9.139,83.431,3.40,,,,
33,02/07/12 02:40:37 AM,8.120,93.380,3.40,,,,
34,02/07/12 03:10:37 AM,8.020,95.016,3.40,,,,
35,02/07/12 03:40:37 AM,7.945,97.881,3.40,,,,
36,02/07/12 04:10:37 AM,7.770,100.000,3.40,,,,
37,02/07/12 04:40:37 AM,7.720,100.000,3.40,,,,
38,02/07/12 05:10:37 AM,7.594,100.000,3.40,,,,
39,02/07/12 05:40:37 AM,7.469,100.000,3.40,,,,
40,02/07/12 06:10:37 AM,7.469,100.000,3.40,,,,
41,02/07/12 06:40:37 AM,7.393,100.000,3.38,,,,
42,02/07/12 07:10:37 AM,7.368,100.000,3.38,,,,
43,02/07/12 07:40:37 AM,7.343,100.000,3.38,,,,
44,02/07/12 08:10:37 AM,7.293,100.000,3.38,,,,
45,02/07/12 08:40:37 AM,7.192,100.000,3.38,,,,
46,02/07/12 09:10:37 AM,7.167,100.000,3.38,,,,
47,02/07/12 09:40:37 AM,7.192,100.000,3.38,,,,
48,02/07/12 10:10:37 AM,7.268,100.000,3.38,,,,
49,02/07/12 10:40:37 AM,7.419,100.000,3.38,,,,
50,02/07/12 11:10:37 AM,7.569,100.000,3.40,,,,
51,02/07/12 11:40:37 AM,7.770,100.000,3.40,,,,
52,02/07/12 12:10:37 PM,7.745,100.000,3.40,,,,
53,02/07/12 12:20:10 PM,,,,,Logged,,
54,02/07/12 12:20:12 PM,,,,,,Logged,Logged
