"Plot Title: HydroWatch_10042534"
"#","Date Time, GMT-08:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,02/07/12 01:00:00 PM,7.745,98.270,3.47,Logged,,,
2,02/07/12 01:15:00 PM,7.795,98.136,3.47,,,,
3,02/07/12 01:30:00 PM,8.020,98.642,3.47,,,,
4,02/07/12 01:45:00 PM,8.095,98.367,3.47,,,,
5,02/07/12 02:00:00 PM,8.295,98.151,3.47,,,,
6,02/07/12 02:15:00 PM,8.319,98.430,3.47,,,,
7,02/07/12 02:30:00 PM,8.394,98.401,3.49,,,,
8,02/07/12 02:45:00 PM,8.444,98.514,3.49,,,,
9,02/07/12 03:00:00 PM,8.469,97.828,3.49,,,,
10,02/07/12 03:15:00 PM,8.469,98.668,3.49,,,,
11,02/07/12 03:30:00 PM,8.394,98.352,3.49,,,,
12,02/07/12 03:45:00 PM,8.394,98.401,3.49,,,,
13,02/07/12 04:00:00 PM,8.419,98.802,3.49,,,,
14,02/07/12 04:15:00 PM,8.469,99.038,3.49,,,,
15,02/07/12 04:30:00 PM,8.444,99.129,3.49,,,,
16,02/07/12 04:45:00 PM,8.394,99.140,3.49,,,,
17,02/07/12 05:00:00 PM,8.419,99.098,3.49,,,,
18,02/07/12 05:15:00 PM,8.419,99.171,3.49,,,,
19,02/07/12 05:30:00 PM,8.369,99.280,3.49,,,,
20,02/07/12 05:45:00 PM,8.344,99.175,3.49,,,,
21,02/07/12 06:00:00 PM,8.319,98.947,3.49,,,,
22,02/07/12 06:15:00 PM,8.270,99.056,3.49,,,,
23,02/07/12 06:30:00 PM,8.270,98.957,3.49,,,,
24,02/07/12 06:45:00 PM,8.220,99.214,3.49,,,,
25,02/07/12 07:00:00 PM,8.220,99.189,3.49,,,,
26,02/07/12 07:15:00 PM,8.145,99.463,3.49,,,,
27,02/07/12 07:30:00 PM,8.095,99.546,3.49,,,,
28,02/07/12 07:45:00 PM,8.070,99.539,3.49,,,,
29,02/07/12 08:00:00 PM,7.920,99.620,3.49,,,,
30,02/07/12 08:15:00 PM,7.870,99.825,3.49,,,,
31,02/07/12 08:30:00 PM,7.645,99.762,3.49,,,,
32,02/07/12 08:45:00 PM,7.318,99.913,3.49,,,,
33,02/07/12 09:00:00 PM,7.293,100.000,3.49,,,,
34,02/07/12 09:15:00 PM,7.167,100.000,3.49,,,,
35,02/07/12 09:30:00 PM,7.116,100.000,3.49,,,,
36,02/07/12 09:45:00 PM,7.091,100.000,3.49,,,,
37,02/07/12 10:00:00 PM,7.015,100.000,3.49,,,,
38,02/07/12 10:15:00 PM,6.864,100.000,3.49,,,,
39,02/07/12 10:30:00 PM,6.737,100.000,3.47,,,,
40,02/07/12 10:45:00 PM,6.585,100.000,3.47,,,,
41,02/07/12 11:00:00 PM,6.382,100.000,3.47,,,,
42,02/07/12 11:15:00 PM,6.382,100.000,3.47,,,,
43,02/07/12 11:30:00 PM,6.128,100.000,3.47,,,,
44,02/07/12 11:45:00 PM,6.026,100.000,3.47,,,,
45,02/08/12 12:00:00 AM,6.051,100.000,3.47,,,,
46,02/08/12 12:15:00 AM,5.642,100.000,3.47,,,,
47,02/08/12 12:30:00 AM,5.719,100.000,3.47,,,,
48,02/08/12 12:45:00 AM,5.385,100.000,3.47,,,,
49,02/08/12 01:00:00 AM,5.334,100.000,3.47,,,,
50,02/08/12 01:15:00 AM,5.128,100.000,3.47,,,,
51,02/08/12 01:30:00 AM,4.973,100.000,3.47,,,,
52,02/08/12 01:45:00 AM,5.076,100.000,3.47,,,,
53,02/08/12 02:00:00 AM,4.792,100.000,3.47,,,,
54,02/08/12 02:15:00 AM,4.662,100.000,3.47,,,,
55,02/08/12 02:30:00 AM,4.740,100.000,3.47,,,,
56,02/08/12 02:45:00 AM,4.532,100.000,3.47,,,,
57,02/08/12 03:00:00 AM,4.558,100.000,3.47,,,,
58,02/08/12 03:15:00 AM,4.402,100.000,3.47,,,,
59,02/08/12 03:30:00 AM,4.298,100.000,3.47,,,,
60,02/08/12 03:45:00 AM,4.220,100.000,3.47,,,,
61,02/08/12 04:00:00 AM,4.324,100.000,3.47,,,,
62,02/08/12 04:15:00 AM,4.350,100.000,3.47,,,,
63,02/08/12 04:30:00 AM,4.089,100.000,3.47,,,,
64,02/08/12 04:45:00 AM,4.168,100.000,3.47,,,,
65,02/08/12 05:00:00 AM,3.880,100.000,3.47,,,,
66,02/08/12 05:15:00 AM,3.880,100.000,3.47,,,,
67,02/08/12 05:30:00 AM,3.827,100.000,3.47,,,,
68,02/08/12 05:45:00 AM,4.037,100.000,3.47,,,,
69,02/08/12 06:00:00 AM,3.932,100.000,3.45,,,,
70,02/08/12 06:15:00 AM,3.827,100.000,3.45,,,,
71,02/08/12 06:30:00 AM,3.696,100.000,3.47,,,,
72,02/08/12 06:45:00 AM,3.827,100.000,3.47,,,,
73,02/08/12 07:00:00 AM,3.485,100.000,3.45,,,,
74,02/08/12 07:15:00 AM,3.459,100.000,3.45,,,,
75,02/08/12 07:30:00 AM,3.617,100.000,3.45,,,,
76,02/08/12 07:45:00 AM,3.433,100.000,3.45,,,,
77,02/08/12 08:00:00 AM,3.301,100.000,3.45,,,,
78,02/08/12 08:15:00 AM,3.354,100.000,3.45,,,,
79,02/08/12 08:30:00 AM,3.406,100.000,3.45,,,,
80,02/08/12 08:45:00 AM,3.617,100.000,3.45,,,,
81,02/08/12 09:00:00 AM,3.906,100.000,3.45,,,,
82,02/08/12 09:15:00 AM,4.220,100.000,3.47,,,,
83,02/08/12 09:30:00 AM,4.947,100.000,3.47,,,,
84,02/08/12 09:45:00 AM,5.462,100.000,3.47,,,,
85,02/08/12 10:00:00 AM,6.204,100.000,3.47,,,,
86,02/08/12 10:15:00 AM,6.712,100.000,3.47,,,,
87,02/08/12 10:30:00 AM,7.393,100.000,3.47,,,,
88,02/08/12 10:45:00 AM,8.020,100.000,3.47,,,,
89,02/08/12 11:00:00 AM,8.643,98.544,3.47,,,,
90,02/08/12 11:15:00 AM,9.163,96.425,3.47,,,,
91,02/08/12 11:30:00 AM,9.509,95.414,3.49,,,,
92,02/08/12 11:45:00 AM,10.026,93.115,3.49,,,,
93,02/08/12 12:00:00 PM,10.687,90.816,3.49,,,,
94,02/08/12 12:15:00 PM,10.858,88.645,3.49,,,,
95,02/08/12 12:30:00 PM,11.297,88.307,3.49,,,,
96,02/08/12 12:45:00 PM,11.710,84.747,3.49,,,,
97,02/08/12 01:00:00 PM,12.074,80.262,3.49,,,,
98,02/08/12 01:15:00 PM,12.485,75.602,3.49,,,,
99,02/08/12 01:30:00 PM,12.847,78.066,3.49,,,,
100,02/08/12 01:45:00 PM,13.161,82.275,3.51,,,,
101,02/08/12 02:00:00 PM,13.209,80.922,3.51,,,,
102,02/08/12 02:15:00 PM,13.425,76.660,3.51,,,,
103,02/08/12 02:30:00 PM,13.305,76.189,3.51,,,,
104,02/08/12 02:45:00 PM,13.112,75.451,3.51,,,,
105,02/08/12 03:00:00 PM,13.209,75.415,3.51,,,,
106,02/08/12 03:15:00 PM,13.064,76.557,3.51,,,,
107,02/08/12 03:30:00 PM,12.582,87.271,3.51,,,,
108,02/08/12 03:45:00 PM,12.703,79.440,3.51,,,,
109,02/08/12 04:00:00 PM,12.654,83.433,3.51,,,,
110,02/08/12 04:15:00 PM,12.582,82.497,3.51,,,,
111,02/08/12 04:30:00 PM,12.896,81.398,3.51,,,,
112,02/08/12 04:45:00 PM,12.582,80.920,3.51,,,,
113,02/08/12 05:00:00 PM,12.050,83.187,3.51,,,,
114,02/08/12 05:15:00 PM,11.443,88.132,3.51,,,,
115,02/08/12 05:30:00 PM,10.858,91.428,3.49,,,,
116,02/08/12 05:45:00 PM,10.443,93.479,3.49,,,,
117,02/08/12 06:00:00 PM,9.903,94.711,3.49,,,,
118,02/08/12 06:15:00 PM,9.558,95.578,3.49,,,,
119,02/08/12 06:30:00 PM,8.941,96.914,3.49,,,,
120,02/08/12 06:45:00 PM,8.841,97.136,3.49,,,,
121,02/08/12 07:00:00 PM,8.618,97.373,3.49,,,,
122,02/08/12 07:15:00 PM,8.270,97.971,3.49,,,,
123,02/08/12 07:30:00 PM,8.369,97.850,3.49,,,,
124,02/08/12 07:45:00 PM,7.845,97.755,3.47,,,,
125,02/08/12 08:00:00 PM,7.670,97.682,3.47,,,,
126,02/08/12 08:15:00 PM,7.444,98.702,3.47,,,,
127,02/08/12 08:30:00 PM,7.293,98.340,3.47,,,,
128,02/08/12 08:45:00 PM,7.142,98.544,3.47,,,,
129,02/08/12 09:00:00 PM,7.091,98.872,3.47,,,,
130,02/08/12 09:15:00 PM,6.788,98.958,3.47,,,,
131,02/08/12 09:30:00 PM,6.687,99.149,3.47,,,,
132,02/08/12 09:45:00 PM,6.712,99.400,3.47,,,,
133,02/08/12 10:00:00 PM,6.661,99.483,3.47,,,,
134,02/08/12 10:15:00 PM,6.331,99.535,3.47,,,,
135,02/08/12 10:30:00 PM,6.306,99.650,3.47,,,,
136,02/08/12 10:45:00 PM,6.153,99.776,3.47,,,,
137,02/08/12 11:00:00 PM,6.026,99.885,3.47,,,,
138,02/08/12 11:15:00 PM,5.949,100.000,3.47,,,,
139,02/08/12 11:30:00 PM,5.821,100.000,3.47,,,,
140,02/08/12 11:45:00 PM,5.693,100.000,3.47,,,,
141,02/09/12 12:00:00 AM,5.642,100.000,3.47,,,,
142,02/09/12 12:15:00 AM,5.719,100.000,3.45,,,,
143,02/09/12 12:30:00 AM,5.565,100.000,3.45,,,,
144,02/09/12 12:45:00 AM,5.719,100.000,3.45,,,,
145,02/09/12 01:00:00 AM,5.539,100.000,3.45,,,,
146,02/09/12 01:15:00 AM,5.462,100.000,3.45,,,,
147,02/09/12 01:30:00 AM,5.282,100.000,3.45,,,,
148,02/09/12 01:45:00 AM,5.102,100.000,3.45,,,,
149,02/09/12 02:00:00 AM,4.973,100.000,3.45,,,,
150,02/09/12 02:15:00 AM,4.766,100.000,3.45,,,,
151,02/09/12 02:30:00 AM,4.662,100.000,3.45,,,,
152,02/09/12 02:45:00 AM,4.869,100.000,3.45,,,,
153,02/09/12 03:00:00 AM,4.636,100.000,3.45,,,,
154,02/09/12 03:15:00 AM,4.792,100.000,3.45,,,,
155,02/09/12 03:30:00 AM,4.662,100.000,3.45,,,,
156,02/09/12 03:45:00 AM,4.506,100.000,3.45,,,,
157,02/09/12 04:00:00 AM,4.402,100.000,3.45,,,,
158,02/09/12 04:15:00 AM,4.194,100.000,3.45,,,,
159,02/09/12 04:30:00 AM,3.985,100.000,3.45,,,,
160,02/09/12 04:45:00 AM,3.932,100.000,3.45,,,,
161,02/09/12 05:00:00 AM,3.801,100.000,3.45,,,,
162,02/09/12 05:15:00 AM,3.827,100.000,3.45,,,,
163,02/09/12 05:30:00 AM,3.854,100.000,3.45,,,,
164,02/09/12 05:45:00 AM,3.670,100.000,3.45,,,,
165,02/09/12 06:00:00 AM,3.538,100.000,3.45,,,,
166,02/09/12 06:15:00 AM,3.538,100.000,3.45,,,,
167,02/09/12 06:30:00 AM,3.036,100.000,3.45,,,,
168,02/09/12 06:45:00 AM,2.930,100.000,3.45,,,,
169,02/09/12 07:00:00 AM,2.823,100.000,3.45,,,,
170,02/09/12 07:15:00 AM,2.664,100.000,3.45,,,,
171,02/09/12 07:30:00 AM,2.664,100.000,3.45,,,,
172,02/09/12 07:45:00 AM,2.770,100.000,3.45,,,,
173,02/09/12 08:00:00 AM,2.503,100.000,3.45,,,,
174,02/09/12 08:15:00 AM,2.396,100.000,3.45,,,,
175,02/09/12 08:30:00 AM,2.557,100.000,3.45,,,,
176,02/09/12 08:45:00 AM,2.770,100.000,3.45,,,,
177,02/09/12 09:00:00 AM,2.877,100.000,3.45,,,,
178,02/09/12 09:15:00 AM,3.221,100.000,3.45,,,,
179,02/09/12 09:30:00 AM,3.433,100.000,3.45,,,,
180,02/09/12 09:45:00 AM,4.272,100.000,3.45,,,,
181,02/09/12 10:00:00 AM,5.154,100.000,3.45,,,,
182,02/09/12 10:15:00 AM,6.026,100.000,3.47,,,,
183,02/09/12 10:30:00 AM,6.560,100.000,3.47,,,,
184,02/09/12 10:45:00 AM,7.494,100.000,3.47,,,,
185,02/09/12 11:00:00 AM,8.220,100.000,3.47,,,,
186,02/09/12 11:15:00 AM,9.163,100.000,3.47,,,,
187,02/09/12 11:30:00 AM,10.051,98.812,3.47,,,,
188,02/09/12 11:45:00 AM,10.638,93.888,3.49,,,,
189,02/09/12 12:00:00 PM,11.686,89.556,3.49,,,,
190,02/09/12 12:15:00 PM,12.413,84.535,3.49,,,,
191,02/09/12 12:30:00 PM,13.257,78.789,3.49,,,,
192,02/09/12 12:45:00 PM,13.738,76.809,3.49,,,,
193,02/09/12 01:00:00 PM,14.194,73.276,3.51,,,,
194,02/09/12 01:15:00 PM,15.366,61.733,3.51,,,,
195,02/09/12 01:30:00 PM,15.843,53.508,3.51,,,,
196,02/09/12 01:45:00 PM,15.533,65.453,3.51,,,,
197,02/09/12 02:00:00 PM,15.939,56.054,3.51,,,,
198,02/09/12 02:15:00 PM,16.153,51.368,3.51,,,,
199,02/09/12 02:30:00 PM,16.368,50.221,3.51,,,,
200,02/09/12 02:45:00 PM,16.368,58.572,3.53,,,,
201,02/09/12 03:00:00 PM,16.177,56.910,3.53,,,,
202,02/09/12 03:15:00 PM,16.463,53.260,3.53,,,,
203,02/09/12 03:30:00 PM,15.581,64.727,3.53,,,,
204,02/09/12 03:45:00 PM,15.270,68.930,3.53,,,,
205,02/09/12 04:00:00 PM,14.050,71.485,3.51,,,,
206,02/09/12 04:15:00 PM,13.594,76.807,3.51,,,,
207,02/09/12 04:30:00 PM,13.064,72.656,3.51,,,,
208,02/09/12 04:45:00 PM,12.606,75.403,3.51,,,,
209,02/09/12 05:00:00 PM,12.147,79.813,3.51,,,,
210,02/09/12 05:15:00 PM,11.734,80.351,3.51,,,,
211,02/09/12 05:30:00 PM,11.005,83.995,3.49,,,,
212,02/09/12 05:45:00 PM,10.541,88.933,3.49,,,,
213,02/09/12 06:00:00 PM,10.051,89.723,3.49,,,,
214,02/09/12 06:15:00 PM,9.485,91.978,3.49,,,,
215,02/09/12 06:30:00 PM,9.361,92.407,3.49,,,,
216,02/09/12 06:45:00 PM,9.064,93.323,3.49,,,,
217,02/09/12 07:00:00 PM,8.519,94.596,3.49,,,,
218,02/09/12 07:15:00 PM,8.295,94.737,3.47,,,,
219,02/09/12 07:30:00 PM,7.845,95.269,3.47,,,,
220,02/09/12 07:45:00 PM,7.895,95.633,3.47,,,,
221,02/09/12 08:00:00 PM,7.469,96.289,3.47,,,,
222,02/09/12 08:15:00 PM,7.569,96.093,3.47,,,,
223,02/09/12 08:30:00 PM,7.419,96.325,3.47,,,,
224,02/09/12 08:45:00 PM,7.217,96.816,3.47,,,,
225,02/09/12 09:00:00 PM,7.142,96.869,3.47,,,,
226,02/09/12 09:15:00 PM,6.712,97.294,3.47,,,,
227,02/09/12 09:30:00 PM,6.408,95.579,3.47,,,,
228,02/09/12 09:45:00 PM,6.230,97.480,3.47,,,,
229,02/09/12 10:00:00 PM,6.255,97.782,3.47,,,,
230,02/09/12 10:15:00 PM,6.636,96.088,3.47,,,,
231,02/09/12 10:30:00 PM,6.408,97.849,3.45,,,,
232,02/09/12 10:45:00 PM,6.889,97.786,3.47,,,,
233,02/09/12 11:00:00 PM,7.770,95.773,3.47,,,,
234,02/09/12 11:15:00 PM,7.544,96.285,3.47,,,,
235,02/09/12 11:30:00 PM,7.670,93.338,3.47,,,,
236,02/09/12 11:45:00 PM,7.670,95.821,3.47,,,,
237,02/10/12 12:00:00 AM,7.318,97.658,3.47,,,,
238,02/10/12 12:15:00 AM,7.519,98.354,3.47,,,,
239,02/10/12 12:30:00 AM,7.469,98.880,3.47,,,,
240,02/10/12 12:45:00 AM,7.192,99.243,3.47,,,,
241,02/10/12 01:00:00 AM,7.041,99.249,3.47,,,,
242,02/10/12 01:15:00 AM,7.318,99.278,3.47,,,,
