"Plot Title: 2373799"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Bad Battery","Good Battery","Coupler Attached","Stopped","End Of File"
1,05/07/12 04:16:56 PM,25.501,21.234,3.47,Logged,,,,,
2,05/07/12 04:46:56 PM,25.137,23.008,3.47,,,,,,
3,05/07/12 05:16:56 PM,24.871,21.818,3.47,,,,,,
4,05/07/12 05:46:56 PM,24.823,22.815,3.47,,,,,,
5,05/07/12 06:16:56 PM,24.171,24.660,3.47,,,,,,
6,05/07/12 06:46:56 PM,24.146,24.247,3.47,,,,,,
7,05/07/12 07:16:56 PM,22.537,35.028,3.47,,,,,,
8,05/07/12 07:46:56 PM,21.891,29.167,3.47,,,,,,
9,05/07/12 08:16:56 PM,19.674,51.698,3.45,,,,,,
10,05/07/12 08:46:56 PM,17.748,59.423,3.45,,,,,,
11,05/07/12 09:16:56 PM,16.320,66.442,3.45,,,,,,
12,05/07/12 09:46:56 PM,15.461,55.800,3.43,,,,,,
13,05/07/12 10:16:56 PM,14.481,70.223,3.43,,,,,,
14,05/07/12 10:46:56 PM,13.690,72.893,3.43,,,,,,
15,05/07/12 11:16:56 PM,13.040,71.119,3.41,,,,,,
16,05/07/12 11:46:56 PM,12.582,72.533,3.41,,,,,,
17,05/08/12 12:16:56 AM,11.710,77.907,3.41,,,,,,
18,05/08/12 12:46:56 AM,11.078,80.886,3.41,,,,,,
19,05/08/12 01:16:56 AM,10.663,79.952,3.41,,,,,,
20,05/08/12 01:46:56 AM,10.345,81.534,3.40,,,,,,
21,05/08/12 02:16:56 AM,10.001,84.562,3.40,,,,,,
22,05/08/12 02:46:56 AM,9.558,85.835,3.40,,,,,,
23,05/08/12 03:16:56 AM,9.114,86.518,3.40,,,,,,
24,05/08/12 03:46:56 AM,8.916,87.621,3.40,,,,,,
25,05/08/12 04:16:56 AM,8.419,89.264,3.40,,,,,,
26,05/08/12 04:46:56 AM,8.145,90.483,3.38,,,,,,
27,05/08/12 05:16:56 AM,7.795,91.442,3.38,,,,,,
28,05/08/12 05:46:56 AM,7.469,92.552,3.38,,,,,,
29,05/08/12 06:16:56 AM,7.368,93.334,3.38,,,,,,
30,05/08/12 06:46:56 AM,7.192,93.666,3.38,,,,,,
31,05/08/12 07:16:56 AM,7.318,93.850,3.38,,,,,,
32,05/08/12 07:46:56 AM,7.995,93.499,3.38,,,,,,
33,05/08/12 08:16:56 AM,9.632,90.447,3.38,,,,,,
34,05/08/12 08:46:56 AM,11.200,86.039,3.40,,,,,,
35,05/08/12 09:16:56 AM,13.594,79.082,3.41,,,,,,
36,05/08/12 09:46:56 AM,16.368,65.922,3.43,,,,,,
37,05/08/12 10:16:56 AM,18.414,60.284,3.43,,,,,,
38,05/08/12 10:46:56 AM,20.365,53.599,3.45,,,,,,
39,05/08/12 11:16:56 AM,22.609,45.626,3.45,,,,,,
40,05/08/12 11:46:56 AM,24.339,40.772,3.47,,,,,,
41,05/08/12 12:16:56 PM,26.134,37.302,3.47,,,,,,
42,05/08/12 12:46:56 PM,27.087,32.369,3.47,,,,,,
43,05/08/12 01:16:56 PM,27.776,22.559,3.49,,,,,,
44,05/08/12 01:46:56 PM,28.295,18.923,3.49,,,,,,
45,05/08/12 02:16:56 PM,29.015,21.243,3.49,,,,,,
46,05/08/12 02:46:56 PM,30.217,25.882,3.49,,,,,,
47,05/08/12 03:16:56 PM,27.554,29.219,3.49,,,,,,
48,05/08/12 03:46:56 PM,27.751,32.461,3.49,,,,,,
49,05/08/12 04:16:56 PM,27.112,35.028,3.49,,,,,,
50,05/08/12 04:46:56 PM,26.916,35.712,3.49,,,,,,
51,05/08/12 05:16:56 PM,26.256,34.579,3.49,,,,,,
52,05/08/12 05:46:56 PM,25.355,34.161,3.47,,,,,,
53,05/08/12 06:16:56 PM,23.665,37.517,3.47,,,,,,
54,05/08/12 06:46:56 PM,22.800,42.716,3.47,,,,,,
55,05/08/12 07:16:56 PM,21.461,45.774,3.47,,,,,,
56,05/08/12 07:46:56 PM,20.150,50.982,3.45,,,,,,
57,05/08/12 08:16:56 PM,18.747,55.004,3.45,,,,,,
58,05/08/12 08:46:56 PM,17.605,60.846,3.45,,,,,,
59,05/08/12 09:16:56 PM,16.677,63.022,3.45,,,,,,
60,05/08/12 09:46:56 PM,15.772,69.544,3.43,,,,,,
61,05/08/12 10:16:56 PM,14.625,75.255,3.43,,,,,,
62,05/08/12 10:46:56 PM,13.834,76.494,3.43,,,,,,
63,05/08/12 11:16:56 PM,13.112,79.694,3.41,,,,,,
64,05/08/12 11:46:56 PM,12.364,81.879,3.41,,,,,,
65,05/09/12 12:16:56 AM,11.856,83.493,3.41,,,,,,
66,05/09/12 12:46:56 AM,11.419,84.144,3.41,,,,,,
67,05/09/12 01:16:56 AM,10.712,84.515,3.40,,,,,,
68,05/09/12 01:46:56 AM,10.247,86.526,3.40,,,,,,
69,05/09/12 02:16:56 AM,9.706,88.049,3.40,,,,,,
70,05/09/12 02:46:56 AM,9.089,89.198,3.40,,,,,,
71,05/09/12 03:16:56 AM,8.668,91.052,3.40,,,,,,
72,05/09/12 03:46:56 AM,8.295,91.749,3.38,,,,,,
73,05/09/12 04:16:56 AM,7.795,92.688,3.38,,,,,,
74,05/09/12 04:46:56 AM,7.569,93.639,3.38,,,,,,
75,05/09/12 05:16:56 AM,7.619,93.829,3.38,,,,,,
76,05/09/12 05:46:56 AM,7.519,92.616,3.38,,,,,,
77,05/09/12 06:16:56 AM,7.116,93.972,3.38,,,,,,
78,05/09/12 06:46:56 AM,7.066,94.635,3.38,,,,,,
79,05/09/12 07:16:56 AM,7.015,94.997,3.36,,,,,,
