"Plot Title: 2373797"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Host Connected","Bad Battery","Good Battery","Stopped","End Of File"
1,01/23/10 12:42:53 PM,4.999,100.000,3.51,Logged,,,,,,
2,01/23/10 01:12:53 PM,4.558,100.000,3.49,,,,,,,
3,01/23/10 01:42:53 PM,5.076,100.000,3.49,,,,,,,
4,01/23/10 02:12:53 PM,5.514,100.000,3.51,,,,,,,
5,01/23/10 02:42:53 PM,6.204,100.000,3.51,,,,,,,
6,01/23/10 03:12:53 PM,6.255,100.000,3.51,,,,,,,
7,01/23/10 03:42:53 PM,6.306,100.000,3.51,,,,,,,
8,01/23/10 04:12:53 PM,6.484,100.000,3.51,,,,,,,
9,01/23/10 04:42:53 PM,6.509,100.000,3.51,,,,,,,
10,01/23/10 05:12:53 PM,6.102,100.000,3.51,,,,,,,
11,01/23/10 05:42:53 PM,6.077,100.000,3.51,,,,,,,
12,01/23/10 06:12:53 PM,5.975,100.000,3.51,,,,,,,
13,01/23/10 06:42:53 PM,5.437,100.000,3.51,,,,,,,
14,01/23/10 07:12:53 PM,5.282,100.000,3.51,,,,,,,
15,01/23/10 07:42:53 PM,5.024,100.000,3.51,,,,,,,
16,01/23/10 08:12:53 PM,4.792,100.000,3.51,,,,,,,
17,01/23/10 08:42:53 PM,4.558,100.000,3.49,,,,,,,
18,01/23/10 09:12:53 PM,4.324,100.000,3.49,,,,,,,
19,01/23/10 09:42:53 PM,4.194,100.000,3.49,,,,,,,
20,01/23/10 10:12:53 PM,4.037,100.000,3.49,,,,,,,
21,01/23/10 10:42:53 PM,3.827,100.000,3.49,,,,,,,
22,01/23/10 11:12:53 PM,3.696,100.000,3.49,,,,,,,
23,01/23/10 11:42:53 PM,3.406,100.000,3.49,,,,,,,
24,01/24/10 12:12:53 AM,3.301,100.000,3.49,,,,,,,
25,01/24/10 12:42:53 AM,3.327,100.000,3.49,,,,,,,
26,01/24/10 01:12:53 AM,3.354,100.000,3.49,,,,,,,
27,01/24/10 01:42:53 AM,3.406,100.000,3.49,,,,,,,
28,01/24/10 02:12:53 AM,3.670,100.000,3.49,,,,,,,
29,01/24/10 02:42:53 AM,4.037,100.000,3.49,,,,,,,
30,01/24/10 03:12:53 AM,4.141,100.000,3.49,,,,,,,
31,01/24/10 03:42:53 AM,4.168,100.000,3.49,,,,,,,
32,01/24/10 04:12:53 AM,4.298,100.000,3.49,,,,,,,
33,01/24/10 04:42:53 AM,4.428,100.000,3.49,,,,,,,
34,01/24/10 05:12:53 AM,4.454,100.000,3.49,,,,,,,
35,01/24/10 05:42:53 AM,4.558,100.000,3.49,,,,,,,
36,01/24/10 06:12:53 AM,4.662,100.000,3.49,,,,,,,
37,01/24/10 06:42:53 AM,4.688,100.000,3.49,,,,,,,
38,01/24/10 07:12:53 AM,4.714,100.000,3.49,,,,,,,
39,01/24/10 07:42:53 AM,4.532,100.000,3.49,,,,,,,
40,01/24/10 08:12:53 AM,4.298,100.000,3.49,,,,,,,
41,01/24/10 08:42:53 AM,4.246,100.000,3.49,,,,,,,
42,01/24/10 09:12:53 AM,4.298,100.000,3.49,,,,,,,
43,01/24/10 09:42:53 AM,4.350,100.000,3.49,,,,,,,
44,01/24/10 10:12:53 AM,4.454,100.000,3.49,,,,,,,
45,01/24/10 10:42:53 AM,4.610,100.000,3.49,,,,,,,
46,01/24/10 11:12:53 AM,4.636,100.000,3.49,,,,,,,
47,01/24/10 11:42:53 AM,4.714,100.000,3.49,,,,,,,
48,01/24/10 12:12:53 PM,4.740,100.000,3.51,,,,,,,
49,01/24/10 12:42:53 PM,4.792,100.000,3.49,,,,,,,
50,01/24/10 01:12:53 PM,4.818,100.000,3.51,,,,,,,
51,01/24/10 01:42:53 PM,4.973,100.000,3.51,,,,,,,
52,01/24/10 02:12:53 PM,4.921,100.000,3.51,,,,,,,
53,01/24/10 02:42:53 PM,5.154,100.000,3.51,,,,,,,
54,01/24/10 03:12:53 PM,5.308,100.000,3.51,,,,,,,
55,01/24/10 03:42:53 PM,5.514,100.000,3.51,,,,,,,
56,01/24/10 04:12:53 PM,5.719,100.000,3.51,,,,,,,
57,01/24/10 04:42:53 PM,5.872,100.000,3.51,,,,,,,
58,01/24/10 05:12:53 PM,5.693,100.000,3.51,,,,,,,
59,01/24/10 05:42:53 PM,5.642,100.000,3.51,,,,,,,
60,01/24/10 06:12:53 PM,5.745,100.000,3.51,,,,,,,
61,01/24/10 06:42:53 PM,5.821,100.000,3.51,,,,,,,
62,01/24/10 07:12:53 PM,6.051,100.000,3.51,,,,,,,
63,01/24/10 07:42:53 PM,6.204,100.000,3.51,,,,,,,
64,01/24/10 08:12:53 PM,6.230,100.000,3.51,,,,,,,
