"Plot Title: 2373796"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Bad Battery","Good Battery","Coupler Attached","Stopped","End Of File"
1,08/25/10 11:45:49 AM,30.621,27.951,3.47,Logged,,,,,
2,08/25/10 12:15:49 PM,32.949,22.683,3.49,,,,,,
3,08/25/10 12:45:49 PM,34.387,21.362,3.49,,,,,,
4,08/25/10 01:15:49 PM,35.075,19.983,3.51,,,,,,
5,08/25/10 01:45:49 PM,35.904,18.567,3.51,,,,,,
6,08/25/10 02:15:49 PM,36.065,17.859,3.49,,,,,,
7,08/25/10 02:45:49 PM,37.206,16.767,3.51,,,,,,
8,08/25/10 03:15:49 PM,37.811,15.460,3.49,,,,,,
9,08/25/10 03:45:49 PM,37.921,15.392,3.32,,,,,,
10,08/25/10 04:15:49 PM,36.281,14.519,3.13,,,,,,
11,08/25/10 04:45:49 PM,35.770,16.479,3.13,,,,,,
12,08/25/10 05:15:49 PM,35.102,16.625,3.13,,,,,,
13,08/25/10 05:45:49 PM,34.202,18.438,3.11,,,,,,
14,08/25/10 06:15:49 PM,33.417,19.887,3.11,,,,,,
15,08/25/10 06:45:49 PM,32.201,23.267,3.10,,,,,,
16,08/25/10 07:15:49 PM,30.672,26.296,3.08,,Logged,,,,
17,08/25/10 07:45:49 PM,28.766,33.295,3.07,,,,,,
18,08/25/10 08:15:49 PM,26.793,35.968,3.05,,,,,,
19,08/25/10 08:45:49 PM,25.331,40.979,3.10,,,,,,
20,08/25/10 09:15:49 PM,24.291,39.686,3.08,,,,,,
21,08/25/10 09:45:49 PM,23.088,40.506,3.08,,,,,,
22,08/25/10 10:15:49 PM,22.178,44.643,3.08,,,,,,
23,08/25/10 10:45:49 PM,21.223,50.436,3.07,,,,,,
24,08/25/10 11:15:49 PM,20.412,50.704,3.07,,,,,,
25,08/25/10 11:45:49 PM,19.722,52.047,3.05,,,,,,
26,08/26/10 12:15:49 AM,18.866,54.775,3.05,,,,,,
27,08/26/10 12:45:49 AM,18.033,59.257,3.04,,,,,,
28,08/26/10 01:15:49 AM,17.320,59.476,3.04,,,,,,
29,08/26/10 01:45:49 AM,16.844,61.799,3.04,,,,,,
30,08/26/10 02:15:49 AM,16.177,63.679,3.03,,,,,,
31,08/26/10 02:45:49 AM,15.652,65.532,3.03,,,,,,
32,08/26/10 03:15:49 AM,15.127,67.657,3.03,,,,,,
33,08/26/10 03:45:49 AM,14.697,68.881,3.01,,,,,,
34,08/26/10 04:15:49 AM,14.218,70.173,3.01,,,,,,
35,08/26/10 04:45:49 AM,13.594,72.449,3.01,,,,,,
36,08/26/10 05:15:49 AM,13.088,74.409,3.00,,,,,,
37,08/26/10 05:45:49 AM,12.727,74.784,3.00,,,,,,
38,08/26/10 06:15:49 AM,12.219,76.576,3.00,,,,,,
39,08/26/10 06:45:49 AM,11.880,77.667,3.00,,,,,,
40,08/26/10 07:15:49 AM,11.710,78.182,3.00,,,,,,
41,08/26/10 07:45:49 AM,11.759,78.467,3.00,,,,,,
42,08/26/10 08:15:49 AM,12.461,75.875,3.00,,,,,,
43,08/26/10 08:45:49 AM,13.570,71.876,3.01,,,,,,
44,08/26/10 09:15:49 AM,15.318,68.562,3.00,,,,,,
45,08/26/10 09:45:49 AM,17.629,59.495,3.01,,,,,,
46,08/26/10 10:15:49 AM,20.007,55.343,3.01,,,,,,
47,08/26/10 10:45:49 AM,21.724,51.980,3.03,,,,,,
48,08/26/10 11:15:49 AM,22.681,49.366,3.03,,,,,,
49,08/26/10 11:45:49 AM,23.809,45.031,3.03,,,,,,
50,08/26/10 12:15:49 PM,24.968,43.191,3.04,,,,,,
51,08/26/10 12:45:49 PM,26.207,39.031,3.04,,,,,,
52,08/26/10 01:15:49 PM,26.965,37.118,3.04,,,,,,
53,08/26/10 01:45:49 PM,26.916,33.432,3.13,,,,,,
54,08/26/10 02:15:49 PM,27.038,31.756,3.13,,,,,,
55,08/26/10 02:45:49 PM,27.702,30.185,3.13,,,,,,
56,08/26/10 03:15:49 PM,28.742,27.292,3.14,,,,,,
57,08/26/10 03:45:49 PM,29.115,26.321,3.18,,,,,,
58,08/26/10 04:15:49 PM,27.825,28.626,3.19,,,,,,
59,08/26/10 04:45:49 PM,27.481,28.940,3.19,,,,,,
60,08/26/10 05:15:49 PM,26.475,32.989,3.19,,,,,,
61,08/26/10 05:45:49 PM,25.283,34.121,3.19,,,,,,
62,08/26/10 06:15:49 PM,24.653,36.093,3.19,,,,,,
63,08/26/10 06:45:49 PM,23.954,37.612,3.19,,,,,,
64,08/26/10 07:15:49 PM,22.800,40.181,3.19,,,,,,
65,08/26/10 07:45:49 PM,21.628,44.064,3.18,,,,,,
66,08/26/10 08:15:49 PM,20.746,46.579,3.18,,,,,,
67,08/26/10 08:45:49 PM,19.960,49.545,3.18,,,,,,
68,08/26/10 09:15:49 PM,19.032,52.914,3.18,,,,,,
69,08/26/10 09:45:49 PM,18.247,54.808,3.18,,,,,,
70,08/26/10 10:15:49 PM,17.272,58.683,3.18,,,,,,
71,08/26/10 10:45:49 PM,16.320,61.832,3.18,,,,,,
72,08/26/10 11:15:49 PM,15.652,63.914,3.18,,,,,,
73,08/26/10 11:45:49 PM,14.984,66.117,3.16,,,,,,
74,08/27/10 12:15:49 AM,14.505,67.979,3.18,,,,,,
75,08/27/10 12:45:49 AM,13.978,69.525,3.18,,,,,,
76,08/27/10 01:15:49 AM,13.449,71.170,3.18,,,,,,
77,08/27/10 01:45:49 AM,12.871,72.449,3.18,,,,,,
78,08/27/10 02:15:49 AM,12.268,74.803,3.18,,,,,,
79,08/27/10 02:45:49 AM,11.662,76.930,3.18,,,,,,
80,08/27/10 03:15:49 AM,11.273,78.610,3.18,,,,,,
81,08/27/10 03:45:49 AM,10.834,79.799,3.18,,,,,,
82,08/27/10 04:15:49 AM,10.492,80.837,3.18,,,,,,
83,08/27/10 04:45:49 AM,9.903,83.367,3.18,,,,,,
84,08/27/10 05:15:49 AM,9.534,84.851,3.18,,,,,,
85,08/27/10 05:45:49 AM,9.287,85.242,3.18,,,,,,
86,08/27/10 06:15:49 AM,8.866,87.296,3.18,,,,,,
87,08/27/10 06:45:49 AM,8.742,87.344,3.18,,,,,,
88,08/27/10 07:15:49 AM,8.717,87.208,3.18,,,,,,
89,08/27/10 07:45:49 AM,8.717,88.821,3.18,,,,,,
90,08/27/10 08:15:49 AM,9.213,87.798,3.18,,,,,,
91,08/27/10 08:45:49 AM,10.687,86.790,3.18,,,,,,
92,08/27/10 09:15:49 AM,12.509,81.313,3.18,,,,,,
93,08/27/10 09:45:49 AM,14.122,76.022,3.18,,,,,,
94,08/27/10 10:15:49 AM,16.177,69.533,3.19,,,,,,
95,08/27/10 10:45:49 AM,17.891,64.476,3.19,,,,,,
96,08/27/10 11:15:49 AM,19.508,58.973,3.19,,,,,,
97,08/27/10 11:45:49 AM,20.889,55.688,3.19,,,,,,
98,08/27/10 12:15:49 PM,22.034,51.049,3.19,,,,,,
99,08/27/10 12:45:49 PM,22.178,48.253,3.19,,,,,,
100,08/27/10 01:15:49 PM,22.848,45.911,3.19,,,,,,
101,08/27/10 01:45:49 PM,23.088,43.137,3.19,,,,,,
102,08/27/10 02:15:49 PM,23.665,37.253,3.19,,,,,,
103,08/27/10 02:45:49 PM,24.291,33.996,3.19,,,,,,
104,08/27/10 03:15:49 PM,25.283,29.036,3.19,,,,,,
105,08/27/10 03:45:49 PM,24.605,27.761,3.21,,,,,,
106,08/27/10 04:15:49 PM,23.521,25.638,3.21,,,,,,
107,08/27/10 04:45:49 PM,23.088,23.626,3.22,,,,,,
108,08/27/10 05:15:49 PM,22.776,23.571,3.22,,,,,,
109,08/27/10 05:45:49 PM,22.561,24.342,3.22,,,,,,
110,08/27/10 06:15:49 PM,21.342,26.326,3.22,,,,,,
111,08/27/10 06:45:49 PM,20.079,29.087,3.22,,,,,,
112,08/27/10 07:15:49 PM,18.747,29.777,3.19,,,,,,
113,08/27/10 07:45:49 PM,17.867,30.963,3.21,,,,,,
114,08/27/10 08:15:49 PM,16.892,34.947,3.07,,,,,,
115,08/27/10 08:45:49 PM,15.652,40.626,3.24,,,,,,
116,08/27/10 09:15:49 PM,15.127,44.467,3.36,,,Logged,,,
117,08/27/10 09:45:49 PM,14.553,50.778,3.38,,,,,,
118,08/27/10 10:15:49 PM,13.978,54.942,3.38,,,,,,
119,08/27/10 10:45:49 PM,13.305,58.540,3.38,,,,,,
120,08/27/10 11:15:49 PM,12.871,61.084,3.40,,,,,,
121,08/27/10 11:45:49 PM,12.799,61.868,3.40,,,,,,
122,08/28/10 12:15:49 AM,12.558,65.975,3.40,,,,,,
123,08/28/10 12:45:49 AM,12.268,69.290,3.40,,,,,,
124,08/28/10 01:15:49 AM,11.953,71.760,3.40,,,,,,
125,08/28/10 01:45:49 AM,11.734,75.001,3.40,,,,,,
126,08/28/10 02:15:49 AM,11.856,74.580,3.40,,,,,,
127,08/28/10 02:45:49 AM,12.001,73.263,3.40,,,,,,
128,08/28/10 03:15:49 AM,12.050,71.212,3.40,,,,,,
129,08/28/10 03:45:49 AM,12.098,70.199,3.40,,,,,,
130,08/28/10 04:15:49 AM,12.389,66.842,3.40,,,,,,
131,08/28/10 04:45:49 AM,12.364,67.500,3.40,,,,,,
132,08/28/10 05:15:49 AM,11.953,71.137,3.40,,,,,,
133,08/28/10 05:45:49 AM,11.710,73.598,3.40,,,,,,
134,08/28/10 06:15:49 AM,11.394,76.044,3.40,,,,,,
135,08/28/10 06:45:49 AM,11.078,78.184,3.40,,,,,,
136,08/28/10 07:15:49 AM,11.078,78.019,3.40,,,,,,
137,08/28/10 07:45:49 AM,11.029,78.777,3.38,,,,,,
138,08/28/10 08:15:49 AM,10.810,79.930,3.40,,,,,,
139,08/28/10 08:45:49 AM,11.175,78.890,3.38,,,,,,
140,08/28/10 09:15:49 AM,11.904,75.621,3.40,,,,,,
141,08/28/10 09:45:49 AM,12.703,72.924,3.40,,,,,,
142,08/28/10 10:15:49 AM,13.570,68.816,3.40,,,,,,
143,08/28/10 10:45:49 AM,14.290,65.263,3.40,,,,,,
144,08/28/10 11:15:49 AM,15.414,63.016,3.40,,,,,,
145,08/28/10 11:45:49 AM,15.748,64.255,3.40,,,,,,
146,08/28/10 12:15:49 PM,16.034,66.215,3.40,,,,,,
147,08/28/10 12:45:49 PM,16.106,65.817,3.40,,,,,,
148,08/28/10 01:15:49 PM,16.677,63.942,3.41,,,,,,
149,08/28/10 01:45:49 PM,16.915,62.527,3.41,,,,,,
150,08/28/10 02:15:49 PM,16.820,61.914,3.41,,,,,,
151,08/28/10 02:45:49 PM,17.558,59.996,3.41,,,,,,
152,08/28/10 03:15:49 PM,17.605,60.064,3.41,,,,,,
153,08/28/10 03:45:49 PM,17.701,59.446,3.41,,,,,,
154,08/28/10 04:15:49 PM,17.225,61.144,3.41,,,,,,
155,08/28/10 04:45:49 PM,17.082,60.791,3.41,,,,,,
156,08/28/10 05:15:49 PM,16.630,62.241,3.41,,,,,,
157,08/28/10 05:45:49 PM,17.249,59.976,3.41,,,,,,
158,08/28/10 06:15:49 PM,17.225,59.461,3.41,,,,,,
159,08/28/10 06:45:49 PM,16.796,58.911,3.41,,,,,,
160,08/28/10 07:15:49 PM,16.106,50.836,3.40,,,,,,
161,08/28/10 07:45:49 PM,15.509,49.392,3.40,,,,,,
