"Plot Title: 2373801"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Bad Battery","Coupler Detached","Good Battery","Coupler Attached","Host Connected","Stopped","End Of File"
1,05/06/10 04:00:00 AM,5.898,67.108,3.04,Logged,Logged,,,,,
2,05/06/10 04:05:00 AM,7.494,63.149,3.05,,,,,,,
3,05/06/10 04:10:00 AM,8.270,48.611,3.07,,,,,,,
4,05/06/10 04:15:00 AM,8.618,45.534,3.07,,,,,,,
5,05/06/10 04:20:00 AM,8.841,44.142,3.08,,,,,,,
6,05/06/10 04:25:00 AM,8.965,43.320,3.08,,,,,,,
7,05/06/10 04:30:00 AM,9.015,42.984,3.08,,,,,,,
8,05/06/10 04:35:00 AM,9.015,42.829,3.08,,,,,,,
9,05/06/10 04:40:00 AM,9.015,42.922,3.08,,,,,,,
10,05/06/10 04:45:00 AM,8.941,43.131,3.08,,,,,,,
11,05/06/10 04:50:00 AM,8.866,43.556,3.08,,,,,,,
12,05/06/10 04:55:00 AM,8.767,44.782,3.08,,,,,,,
13,05/06/10 05:00:00 AM,8.668,44.893,3.08,,,,,,,
14,05/06/10 05:05:00 AM,8.568,45.251,3.08,,,,,,,
15,05/06/10 05:10:00 AM,8.469,45.638,3.08,,,,,,,
16,05/06/10 05:15:00 AM,8.344,45.869,3.08,,,,,,,
17,05/06/10 05:20:00 AM,8.245,45.979,3.08,,,,,,,
18,05/06/10 05:25:00 AM,8.145,45.997,3.08,,,,,,,
19,05/06/10 05:30:00 AM,8.020,45.920,3.08,,,,,,,
20,05/06/10 05:35:00 AM,7.920,45.815,3.07,,,,,,,
21,05/06/10 05:40:00 AM,7.795,45.707,3.08,,,,,,,
22,05/06/10 05:45:00 AM,7.670,45.599,3.07,,,,,,,
23,05/06/10 05:50:00 AM,7.569,45.495,3.08,,,,,,,
24,05/06/10 05:55:00 AM,7.594,50.790,3.07,,,,,,,
25,05/06/10 06:00:00 AM,8.045,51.456,3.07,,,,,,,
26,05/06/10 06:05:00 AM,8.469,49.459,3.08,,,,,,,
27,05/06/10 06:10:00 AM,9.015,51.593,3.08,,,,,,,
28,05/06/10 06:15:00 AM,8.891,48.298,3.22,,,,,,,
29,05/06/10 06:20:00 AM,7.594,54.978,3.22,,,,,,,
30,05/06/10 06:25:00 AM,6.458,59.938,3.21,,,,,,,
31,05/06/10 06:30:00 AM,5.591,63.420,3.21,,,,,,,
32,05/06/10 06:35:00 AM,4.869,68.459,3.21,,,,,,,
33,05/06/10 06:40:00 AM,4.506,70.113,3.21,,,,,,,
34,05/06/10 06:45:00 AM,4.350,71.216,3.21,,,,,,,
35,05/06/10 06:50:00 AM,2.770,76.941,3.19,,,,,,,
36,05/06/10 06:55:00 AM,1.859,82.297,3.19,,,,,,,
37,05/06/10 07:00:00 AM,1.398,85.126,3.18,,,,,,,
38,05/06/10 07:05:00 AM,0.962,86.242,3.18,,,,,,,
39,05/06/10 07:10:00 AM,0.715,88.301,3.18,,,,,,,
40,05/06/10 07:15:00 AM,0.577,88.743,3.18,,,,,,,
41,05/06/10 07:20:00 AM,0.439,89.357,3.18,,,,,,,
42,05/06/10 07:25:00 AM,0.439,89.755,3.18,,,,,,,
43,05/06/10 07:30:00 AM,0.605,88.775,3.18,,,,,,,
44,05/06/10 07:35:00 AM,0.742,89.659,3.19,,,,,,,
45,05/06/10 07:40:00 AM,0.907,89.502,3.19,,,,,,,
46,05/06/10 07:45:00 AM,1.044,89.836,3.19,,,,,,,
47,05/06/10 07:50:00 AM,1.262,88.137,3.19,,,,,,,
48,05/06/10 07:55:00 AM,1.507,87.036,3.19,,,,,,,
49,05/06/10 08:00:00 AM,1.805,84.865,3.21,,,,,,,
50,05/06/10 08:05:00 AM,2.155,82.443,3.21,,,,,,,
51,05/06/10 08:10:00 AM,2.557,78.571,3.21,,,,,,,
52,05/06/10 08:15:00 AM,3.089,75.346,3.21,,,,,,,
53,05/06/10 08:20:00 AM,3.827,70.368,3.22,,,,,,,
54,05/06/10 08:25:00 AM,4.428,62.961,3.22,,,,,,,
55,05/06/10 08:30:00 AM,4.999,58.335,3.22,,,,,,,
56,05/06/10 08:35:00 AM,5.770,45.482,3.24,,,,,,,
57,05/06/10 08:40:00 AM,6.509,46.309,3.24,,,,,,,
58,05/06/10 08:45:00 AM,7.015,42.747,3.24,,,,,,,
59,05/06/10 08:50:00 AM,7.393,46.972,3.24,,,,,,,
60,05/06/10 08:55:00 AM,7.695,38.930,3.26,,,,,,,
61,05/06/10 09:00:00 AM,8.120,36.706,3.26,,,,,,,
62,05/06/10 09:05:00 AM,8.543,32.733,3.26,,,,,,,
63,05/06/10 09:10:00 AM,8.767,34.227,3.26,,,,,,,
64,05/06/10 09:15:00 AM,9.114,31.499,3.26,,,,,,,
65,05/06/10 09:20:00 AM,9.509,30.046,3.26,,,,,,,
