"Plot Title: 2373797"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,05/09/11 02:12:53 PM,15.509,43.723,3.55,Logged,,,
2,05/09/11 02:42:53 PM,15.891,42.628,3.55,,,,
3,05/09/11 03:12:53 PM,16.534,42.702,3.55,,,,
4,05/09/11 03:42:53 PM,16.677,41.252,3.55,,,,
5,05/09/11 04:12:53 PM,16.368,46.475,3.55,,,,
6,05/09/11 04:42:53 PM,15.939,49.170,3.55,,,,
7,05/09/11 05:12:53 PM,15.772,49.023,3.55,,,,
8,05/09/11 05:42:53 PM,15.461,48.049,3.55,,,,
9,05/09/11 06:12:53 PM,15.366,47.912,3.55,,,,
10,05/09/11 06:42:53 PM,15.318,48.715,3.55,,,,
11,05/09/11 07:12:53 PM,14.768,51.884,3.55,,,,
12,05/09/11 07:42:53 PM,13.377,61.078,3.55,,,,
13,05/09/11 08:12:53 PM,12.558,60.855,3.53,,,,
14,05/09/11 08:42:53 PM,11.783,67.394,3.53,,,,
15,05/09/11 09:12:53 PM,10.590,73.514,3.53,,,,
16,05/09/11 09:42:53 PM,9.952,76.158,3.51,,,,
17,05/09/11 10:12:53 PM,10.271,74.341,3.51,,,,
18,05/09/11 10:42:53 PM,8.941,79.926,3.51,,,,
19,05/09/11 11:12:53 PM,8.020,83.676,3.51,,,,
20,05/09/11 11:42:53 PM,7.116,86.455,3.49,,,,
21,05/10/11 12:12:53 AM,6.813,88.350,3.49,,,,
22,05/10/11 12:42:53 AM,6.509,89.353,3.49,,,,
23,05/10/11 01:12:53 AM,6.153,90.691,3.49,,,,
24,05/10/11 01:42:53 AM,5.693,91.662,3.49,,,,
25,05/10/11 02:12:53 AM,5.385,92.261,3.47,,,,
26,05/10/11 02:42:53 AM,4.921,93.839,3.47,,,,
27,05/10/11 03:12:53 AM,4.714,94.280,3.47,,,,
28,05/10/11 03:42:53 AM,4.141,94.916,3.47,,,,
29,05/10/11 04:12:53 AM,3.827,95.348,3.47,,,,
30,05/10/11 04:42:53 AM,3.722,95.907,3.47,,,,
31,05/10/11 05:12:53 AM,3.327,96.018,3.45,,,,
32,05/10/11 05:42:53 AM,2.903,96.704,3.45,,,,
33,05/10/11 06:12:53 AM,2.744,96.975,3.45,,,,
34,05/10/11 06:42:53 AM,2.690,96.669,3.45,,,,
35,05/10/11 07:12:53 AM,2.584,97.124,3.45,,,,
36,05/10/11 07:42:53 AM,3.036,97.178,3.45,,,,
37,05/10/11 08:12:53 AM,4.063,97.925,3.45,,,,
38,05/10/11 08:42:53 AM,5.693,95.633,3.47,,,,
39,05/10/11 09:12:53 AM,7.544,90.536,3.49,,,,
40,05/10/11 09:42:53 AM,9.903,79.975,3.49,,,,
41,05/10/11 10:12:53 AM,11.977,69.863,3.51,,,,
42,05/10/11 10:42:53 AM,13.738,62.055,3.53,,,,
43,05/10/11 11:12:53 AM,15.509,55.443,3.55,,,,
44,05/10/11 11:42:53 AM,17.558,50.755,3.55,,,,
45,05/10/11 12:12:53 PM,17.891,54.141,3.55,,,,
46,05/10/11 12:42:53 PM,18.509,52.438,3.57,,,,
47,05/10/11 01:12:53 PM,18.509,53.274,3.57,,,,
48,05/10/11 01:42:53 PM,18.176,54.613,3.57,,,,
49,05/10/11 02:12:53 PM,18.533,54.788,3.57,,,,
50,05/10/11 02:42:53 PM,19.103,50.653,3.57,,,,
51,05/10/11 03:12:53 PM,19.032,48.952,3.57,,,,
52,05/10/11 03:42:53 PM,19.365,48.555,3.57,,,,
53,05/10/11 04:12:53 PM,19.199,49.476,3.57,,,,
54,05/10/11 04:42:53 PM,19.389,44.821,3.57,,,,
55,05/10/11 05:12:53 PM,19.318,47.351,3.57,,,,
56,05/10/11 05:42:53 PM,19.532,43.689,3.57,,,,
57,05/10/11 06:12:53 PM,19.698,42.491,3.57,,,,
58,05/10/11 06:42:53 PM,19.270,44.775,3.57,,,,
59,05/10/11 07:12:53 PM,18.414,27.616,3.57,,,,
60,05/10/11 07:42:53 PM,16.272,46.745,3.57,,,,
61,05/10/11 08:12:53 PM,14.697,52.793,3.55,,,,
62,05/10/11 08:42:53 PM,13.257,60.644,3.55,,,,
63,05/10/11 09:12:53 PM,12.268,62.455,3.53,,,,
64,05/10/11 09:42:53 PM,11.637,66.302,3.53,,,,
65,05/10/11 10:12:53 PM,10.834,69.703,3.53,,,,
66,05/10/11 10:42:53 PM,10.394,71.934,3.53,,,,
67,05/10/11 11:12:53 PM,10.001,74.425,3.53,,,,
68,05/10/11 11:42:53 PM,9.706,76.162,3.51,,,,
69,05/11/11 12:12:53 AM,9.015,79.238,3.51,,,,
70,05/11/11 12:42:53 AM,8.668,80.889,3.51,,,,
71,05/11/11 01:12:53 AM,8.444,83.748,3.51,,,,
72,05/11/11 01:42:53 AM,8.120,83.937,3.51,,,,
73,05/11/11 02:12:53 AM,8.394,84.292,3.51,,,,
74,05/11/11 02:42:53 AM,8.369,84.419,3.51,,,,
75,05/11/11 03:12:53 AM,8.319,85.303,3.51,,,,
76,05/11/11 03:42:53 AM,8.270,85.213,3.51,,,,
77,05/11/11 04:12:53 AM,8.319,84.407,3.51,,,,
78,05/11/11 04:42:53 AM,8.170,86.631,3.49,,,,
79,05/11/11 05:12:53 AM,8.120,87.739,3.51,,,,
80,05/11/11 05:42:53 AM,7.970,88.248,3.49,,,,
81,05/11/11 06:12:53 AM,7.970,88.946,3.49,,,,
82,05/11/11 06:42:53 AM,8.145,88.161,3.49,,,,
83,05/11/11 07:12:53 AM,8.195,89.518,3.49,,,,
84,05/11/11 07:42:53 AM,8.494,89.024,3.51,,,,
85,05/11/11 08:12:53 AM,9.114,88.191,3.51,,,,
86,05/11/11 08:42:53 AM,10.001,84.828,3.51,,,,
87,05/11/11 09:12:53 AM,10.687,84.135,3.51,,,,
88,05/11/11 09:42:53 AM,11.516,80.603,3.51,,,,
89,05/11/11 10:12:53 AM,12.896,65.513,3.53,,,,
90,05/11/11 10:42:53 AM,13.738,65.196,3.53,,,,
91,05/11/11 11:12:53 AM,14.194,60.886,3.53,,,,
92,05/11/11 11:42:53 AM,14.840,55.859,3.55,,,,
93,05/11/11 12:12:53 PM,15.031,56.402,3.55,,,,
94,05/11/11 12:42:53 PM,14.314,59.357,3.55,,,,
95,05/11/11 01:12:53 PM,14.457,54.497,3.55,,,,
96,05/11/11 01:42:53 PM,14.457,55.074,3.55,,,,
97,05/11/11 02:12:53 PM,14.553,56.783,3.55,,,,
98,05/11/11 02:42:53 PM,14.457,60.603,3.55,,,,
99,05/11/11 03:12:53 PM,14.337,59.868,3.55,,,,
100,05/11/11 03:42:53 PM,14.002,60.617,3.55,,,,
101,05/11/11 04:12:53 PM,14.266,62.202,3.55,,,,
102,05/11/11 04:42:53 PM,14.457,59.559,3.55,,,,
103,05/11/11 05:12:53 PM,14.314,62.180,3.55,,,,
104,05/11/11 05:42:53 PM,14.337,61.652,3.55,,,,
105,05/11/11 06:12:53 PM,13.425,67.319,3.55,,,,
106,05/11/11 06:42:53 PM,11.734,74.024,3.53,,,,
107,05/11/11 07:12:53 PM,11.127,76.846,3.53,,,,
108,05/11/11 07:42:53 PM,10.883,78.937,3.53,,,,
109,05/11/11 08:12:53 PM,9.805,83.317,3.51,,,,
110,05/11/11 08:42:53 PM,8.941,88.227,3.51,,,,
111,05/11/11 09:12:53 PM,8.717,90.087,3.51,,,,
112,05/11/11 09:42:53 PM,8.643,90.712,3.51,,,,
113,05/11/11 10:12:53 PM,8.568,91.206,3.51,,,,
114,05/11/11 10:42:53 PM,8.519,92.011,3.51,,,,
115,05/11/11 11:12:53 PM,8.295,92.767,3.51,,,,
116,05/11/11 11:42:53 PM,8.120,93.582,3.49,,,,
117,05/12/11 12:12:53 AM,7.945,93.965,3.49,,,,
118,05/12/11 12:42:53 AM,8.020,94.413,3.49,,,,
119,05/12/11 01:12:53 AM,8.095,94.584,3.49,,,,
120,05/12/11 01:42:53 AM,8.020,95.116,3.49,,,,
121,05/12/11 02:12:53 AM,7.870,95.176,3.49,,,,
122,05/12/11 02:42:53 AM,7.645,95.715,3.49,,,,
123,05/12/11 03:12:53 AM,7.720,95.860,3.49,,,,
124,05/12/11 03:42:53 AM,7.845,95.968,3.49,,,,
125,05/12/11 04:12:53 AM,8.020,95.616,3.49,,,,
126,05/12/11 04:42:53 AM,8.170,95.607,3.49,,,,
127,05/12/11 05:12:53 AM,8.195,96.063,3.49,,,,
128,05/12/11 05:42:53 AM,8.245,96.326,3.49,,,,
129,05/12/11 06:12:53 AM,8.145,95.099,3.49,,,,
130,05/12/11 06:42:53 AM,8.145,94.647,3.49,,,,
131,05/12/11 07:12:53 AM,8.245,93.312,3.49,,,,
132,05/12/11 07:42:53 AM,8.519,93.611,3.51,,,,
133,05/12/11 08:12:53 AM,8.668,93.296,3.49,,,,
134,05/12/11 08:42:53 AM,8.965,91.921,3.51,,,,
